,AAPL,MSFT,NVDA,GOOGL,META,AVGO,CRM,ADBE,JPM,BAC,GS,MS,AXP,WFC,SCHW,JNJ,UNH,PFE,ABBV,MRK,TMO,ABT,MDT,AMZN,TSLA,MCD,NKE,SBUX,TGT,COST,XOM,CVX,COP,SLB,EOG,PSX,CAT,BA,HON,UPS,RTX,DE,NEE,DUK,AMT,PLD,LIN,VZ
2021-08-31,66433763.63636363,20059495.454545453,291653909.09090906,20981181.818181816,10278740.909090908,12017181.818181818,6033681.818181818,1305613.6363636365,9458440.909090908,45330281.81818182,2182359.090909091,7256172.7272727275,3426868.1818181816,24030554.545454547,5206668.181818182,5217659.090909091,2162104.5454545454,45839386.36363637,5442627.2727272725,8259822.7272727275,905286.3636363636,4031890.909090909,4116836.3636363638,57134727.27272727,51998850.0,2055000.0,4286590.909090909,5202609.090909091,3388781.8181818184,1622486.3636363635,18471081.818181816,9701368.181818182,7021245.454545454,9364904.545454545,4990500.0,2999509.090909091,3294227.272727273,8543268.181818182,1958755.4545454546,2296795.4545454546,3778395.4545454546,1381818.1818181819,6619159.090909091,2548431.8181818184,1187250.0,2093486.3636363635,1187795.4545454546,13099590.909090908
2021-09-30,84347445.45454545,23530300.0,239978090.9090909,27758636.363636363,15710518.181818182,18098727.272727273,6302086.363636363,2468736.3636363638,11034127.272727273,48369590.90909091,2380145.4545454546,8484331.818181818,3702281.8181818184,30590904.545454547,5109200.0,6187527.2727272725,2782618.1818181816,25703800.0,9812272.727272727,13249245.454545455,1462104.5454545454,4551077.2727272725,3647631.8181818184,59184909.09090909,55284190.90909091,2602818.1818181816,7976818.181818182,5405300.0,2730668.1818181816,1846040.9090909092,22579477.272727273,11799336.363636363,10106881.818181818,10850345.454545455,4439336.363636363,3031668.1818181816,3657659.090909091,9114954.545454545,2625131.0454545454,2505368.1818181816,5775531.818181818,2032081.8181818181,6807613.636363637,3255531.8181818184,1642931.8181818181,2655863.6363636362,1544954.5454545454,16149754.545454545
2021-10-31,74527580.95238096,24595990.476190478,236718000.0,34321809.52380952,28018214.285714287,16269190.476190476,4327180.952380952,2114190.476190476,11032419.047619049,43677185.71428572,2498128.5714285714,7949185.714285715,3403466.6666666665,24575919.04761905,5569504.761904762,6491761.904761905,2868642.8571428573,22455033.333333332,6542890.476190476,20018209.523809522,1126947.619047619,5241966.666666667,4744142.857142857,60641238.0952381,75562085.71428572,2761500.0,6331971.428571428,6357109.523809524,2761914.285714286,1696200.0,20724504.76190476,10086276.19047619,8721285.714285715,12571980.952380951,4042428.5714285714,3258519.0476190476,3429823.8095238097,8169252.380952381,2121974.8095238097,3055833.3333333335,4522890.476190476,1439414.2857142857,6503328.571428572,2414776.1904761903,1534019.0476190476,2247966.6666666665,1261280.9523809524,21467633.333333332
2021-11-30,80022390.9090909,24161204.545454547,511196909.09090906,28473545.454545453,20667781.818181816,16172136.363636363,4744677.2727272725,2079972.7272727273,9687645.454545455,42520868.18181818,2418690.909090909,9166000.0,3921709.090909091,23656936.363636363,4941468.181818182,7704281.818181818,2879527.272727273,46763740.90909091,5322254.545454546,14749472.727272727,1355936.3636363635,5236600.0,5969790.909090909,71025000.0,91591595.45454545,2454740.909090909,5556054.545454546,7554118.181818182,3897668.1818181816,2059050.0,19633236.363636363,10627281.818181818,8368231.818181818,11843659.090909092,4585245.454545454,3321954.5454545454,3406181.8181818184,10366659.090909092,2583530.1818181816,2469381.8181818184,4704268.181818182,2012027.2727272727,6209109.090909091,2643354.5454545454,1738404.5454545454,1851713.6363636365,1561790.9090909092,18741222.727272727
2021-12-31,109266230.43478261,28056200.0,495718565.2173913,28090347.826086957,19662373.913043477,27232695.652173914,6674239.130434782,3752204.347826087,11305286.956521738,47607630.43478261,2421821.7391304346,8466960.869565217,3767843.4782608696,23258126.086956523,5207000.0,7455382.608695652,2897073.913043478,47966634.782608695,6755930.434782608,13092200.0,1226091.3043478262,5287269.565217392,8551121.739130436,57583565.217391305,70560039.13043478,2621143.4782608696,5537308.695652174,6089778.260869565,3947226.086956522,2717404.347826087,19419808.695652176,9935647.826086957,6754873.9130434785,9094943.47826087,3701456.5217391304,3222547.8260869565,2626721.7391304346,9569291.304347826,3519955.086956522,2348021.7391304346,4778478.260869565,1478321.7391304348,7164586.956521739,2868204.347826087,1626900.0,2677386.9565217393,1437165.2173913044,23527965.217391305
2022-01-31,104232704.76190476,47017990.47619048,527523619.04761904,37946095.23809524,21147895.23809524,31080000.0,8014085.714285715,4131938.095238095,19719457.14285714,61815809.52380952,4321690.476190476,13654071.42857143,4840200.0,38077752.38095238,9989895.238095239,8161052.380952381,4019295.238095238,38346880.952380955,8526061.904761905,13617290.476190476,1996357.142857143,7847452.380952381,7136285.714285715,74791809.52380952,94710985.71428572,3254276.1904761903,6549166.666666667,11066223.80952381,4303276.19047619,2944723.8095238097,30061923.80952381,14956804.761904761,8773500.0,17030447.61904762,5040885.714285715,3977509.523809524,4472414.285714285,10816219.047619049,3652376.4285714286,2618380.9523809524,6091471.428571428,1979709.5238095238,13375523.80952381,3171095.238095238,2393338.095238095,3558452.380952381,1815052.380952381,24709376.19047619
2022-02-28,85514450.0,36565730.0,570276250.0,48687300.0,58258400.0,23571250.0,7415565.0,3776075.0,15023170.0,48980260.0,2907885.0,10949505.0,4048500.0,29570055.0,7825405.0,8051925.0,3082420.0,33088005.0,8670240.0,12906570.0,1639075.0,6181145.0,6956000.0,87660400.0,72981420.0,3044480.0,6029170.0,8407065.0,4077895.0,2201015.0,32601920.0,14678490.0,8970970.0,15001290.0,4620700.0,3375300.0,3602185.0,8713735.0,4417049.2,4026380.0,6995975.0,2286555.0,9825110.0,3456370.0,1947850.0,2928060.0,2509700.0,20598195.0
2022-03-31,94817395.6521739,31927573.913043477,506286913.04347825,31702695.652173914,31881500.0,24041391.304347824,7046391.304347826,4290326.0869565215,16991165.217391305,57079065.217391305,2962873.913043478,10969995.652173912,4461039.130434782,32812552.173913043,7816726.0869565215,7830695.652173913,3204960.8695652173,31222000.0,6572152.173913044,10260169.56521739,1424830.4347826086,5367526.0869565215,6568460.869565218,70803739.13043478,75185778.26086956,4000021.7391304346,8742634.782608695,10873143.47826087,4179960.8695652173,2597021.7391304346,37108700.0,22933513.04347826,10172230.43478261,20437573.913043477,5421939.130434782,5969039.130434782,4048791.304347826,10592791.304347826,3911344.347826087,2830765.217391304,7057478.260869565,2517882.6086956523,9294539.130434783,2674204.347826087,1981213.043478261,2833900.0,2651313.0434782607,27275813.04347826
2022-04-30,83958333.33333333,31217380.95238095,556356523.8095238,37750000.0,32887357.14285714,21572904.76190476,6899742.857142857,2740933.3333333335,15356457.142857144,52916280.952380955,3143109.523809524,10220680.952380951,3332885.714285714,27974447.61904762,10247800.0,8078223.80952381,3127300.0,23816033.333333332,9047628.57142857,12501023.80952381,1582680.9523809524,5025000.0,5498161.904761905,72219333.33333333,75208671.42857143,2580757.1428571427,6713876.19047619,9744923.80952381,3708871.4285714286,2473852.380952381,25247338.095238097,9983038.095238095,6769723.80952381,12203504.761904761,3394138.095238095,4002619.0476190476,3451900.0,8931861.904761905,3220862.761904762,3786680.9523809524,5087766.666666667,1612514.2857142857,9460780.952380951,2717014.285714286,1856504.761904762,3231766.6666666665,1855314.2857142857,27092814.285714287
2022-05-31,113273581.81818181,34991490.90909091,662336363.6363636,40380181.81818182,31959613.636363637,29413818.181818184,7972154.545454546,3457277.272727273,14764009.090909092,52325772.72727273,2406972.727272727,8124159.090909091,3190059.090909091,25810336.363636363,8064522.7272727275,7208672.7272727275,3243304.5454545454,27483086.363636363,6905840.909090909,12471681.818181818,1553927.2727272727,5897431.818181818,6059286.363636363,106915272.72727273,92614390.9090909,3050095.4545454546,7621450.0,13651322.727272727,8500959.090909092,3931509.090909091,31155731.818181816,11162654.545454545,7946450.0,13087100.0,4215027.2727272725,4143027.272727273,2892904.5454545454,10749918.181818182,3918316.3636363638,3806868.1818181816,5600736.363636363,2175777.272727273,11438590.909090908,3157650.0,1934718.1818181819,6084290.909090909,2012859.0909090908,22277740.90909091
