Date,AAPL,MSFT,NVDA,GOOGL,META,AVGO,CRM,ADBE,JPM,BAC,GS,MS,BLK,AXP,WFC,SCHW,JNJ,UNH,PFE,ABBV,MRK,TMO,ABT,MDT,AMZN,TSLA,MCD,NKE,SBUX,TGT,COST,XOM,CVX,COP,SLB,EOG,PSX,CAT,BA,HON,UPS,RTX,DE,NEE,DUK,AMT,PLD,LIN,VZ
2019-02-12,89134000,25056600,591060000,35036000,16292300,19809000,5631700,2518400,12852300,49178100,2392900,12400800,617300,3238600,22033000,7018200,6262300,4327900,30540177,6620100,13676086,1189200,7039700,3713900,97172000,82764000,4692800,6290300,8848900,4505500,2091200,12599200,5400700,3958000,8981100,3072400,2486000,4505600,3263300,2816849,2881600,5624266,1894400,7004800,2676900,1471600,3207400,1772000,11227600
2019-02-13,89960800,18394900,605372000,28042000,14205100,19190000,5296000,1899700,10754100,48951200,2757300,9528300,803500,3182100,13770900,6148400,7902200,3066400,24757195,4237200,10980106,1014500,5696300,3483500,71206000,77124000,5283000,5032800,10264000,7186900,1703000,13214600,5935900,5839800,11036100,3469200,2627100,3189600,3078700,2928042,2731500,3914660,2777700,5726400,5281400,1195900,2343700,1599300,11884800
2019-02-14,87342800,21784700,827264000,21106000,12755200,16015000,5061100,1885000,11518500,47756600,2865000,10414200,542500,2385900,16456500,6082500,3910400,3015300,19864949,3436300,8577042,996300,4864500,4644100,82410000,78012000,4428800,5179000,9441100,4624800,1411100,12772900,5406500,5442800,9671200,2654700,2701500,2877500,2724300,2239453,2359400,5957638,2029700,6408000,3987400,1832500,2432800,1104100,11190100
2019-02-15,98507200,26606900,1516748000,27826000,15504400,17352000,5282000,2999200,14716900,65867000,3065400,13289700,600300,3882300,19346200,7000200,6665000,3673700,19168993,6295400,10886100,1718200,8083200,5622500,86878000,58573500,4648600,6111300,13924600,3835800,2635500,14330300,6209800,5173500,8174900,3038600,2647300,5217500,4017300,3224803,4273400,10850328,7578600,8813200,4472900,2744400,2210100,2573600,15719400
2019-02-19,75891200,18038500,551892000,21980000,14345400,15152000,3883200,3475600,12764900,40841300,2558200,9401700,438000,3692800,15121700,4977700,5935500,2486700,24432985,5674700,9653547,1099900,4503500,6891400,73634000,62526000,4765400,5105900,9208400,6868000,1938100,13551500,4277800,5189600,10039200,2791500,2108000,3881300,3051500,2630856,2658700,9680983,2971500,9774000,4358600,1961700,1687500,2221200,12272700
2019-02-20,104457600,21607700,540988000,24090000,11770700,16150000,7047200,2484800,10030300,42806300,2266000,10031600,563300,3840800,16742600,8832300,6089800,2802800,27354884,5564100,8993517,1091100,6316700,4924800,66752000,107131500,3707400,6436100,9671800,5005600,1785600,12633100,5940600,5837100,8565600,3456300,3586900,6199000,3990100,2782366,3346700,10012607,3349200,10203200,3471200,1612000,2680200,2574800,11379000
2019-02-21,68998800,29063200,448548000,33272000,15607800,13254000,4463000,2607400,8400100,42754100,2785900,9603600,451800,2566500,16938800,5519500,6665500,2554300,19611883,6360800,7740633,840300,5607000,4222600,69668000,133638000,4391000,8579200,10933500,3985000,1615300,10266000,5139400,5984300,9527400,3836800,2054000,4051100,2880500,2871384,2260100,5179822,2838500,8274800,3167800,1407600,2049700,1736500,14680500
2019-02-22,75652800,27763200,401740000,29436000,15858500,27225000,4175000,2006000,10647300,47887800,2626600,10132100,400300,2256400,15848200,3571800,5223900,3191100,24779329,5022700,8337469,1118000,5296600,4551300,61924000,86109000,3073500,4449500,11311600,3144800,1542500,9519300,4517600,5225500,5716500,4163500,2102500,3485000,3132300,3043479,4085000,5018221,1967200,6735200,2538500,1312600,1582500,1075700,12534300
2019-02-25,87493600,23750600,656020000,26208000,18737100,19245000,5076700,1815800,11230700,61227400,3032200,10804700,516300,3333500,16564100,5391000,6846600,3679100,25274815,5511800,9741265,1194700,5709600,7216800,63690000,99397500,3090800,6229700,12071200,7782000,1794000,9274400,5196600,5160900,6033300,6090800,1661000,4444100,3276100,2453563,3112700,4245967,2502700,7555600,2551000,1946500,1976300,1526800,15051200
2019-02-26,68280800,21536700,488464000,35026000,13784100,27211000,4496300,2538900,15465400,53153200,2499800,10404400,472000,2548100,16997800,3938100,5106900,3212900,16548959,4283100,8927912,1198300,5295400,4541800,53316000,128737500,2219100,6678700,12302300,5370900,1884100,10990600,5445600,4689900,5853200,5777600,2274400,7275600,2503700,2107464,2927600,5397833,1623700,7644400,3234500,1853700,1457200,1739200,12005600
